TAI,TAF,TCI,TCF,EI,EF,TCI,TCF,TNI,TNF,SUBTOTAL_I,SUBTOTAL_F,TOTAL
"3,700,473",0,"753,384",0,"659,186",0,"5,860,111",0,"1,125,052",0,"12,098,206",0,"12,098,206"
"1,816,495","96,285","30,679",82,0,0,0,0,0,0,"1,847,174","96,367","1,943,541"
"4,882,876","15,527,013","972,916","269,048",0,"917,658",0,"1,272,883","669,789",0,"6,525,581","17,986,602","24,512,183"
"2,028,973","270,171","117,473","8,559",0,"247,160","2,449,485",0,"1,122,935",0,"5,718,866","525,890","6,244,756"
"12,428,817","15,893,469","1,874,452","277,689","659,186","1,164,818","8,309,596","1,272,883","2,917,776",0,"26,189,827","18,608,859",
"28,322,286",,"2,152,141",,"1,824,004",,"9,582,479",,"2,917,776",,,,"44,798,686"
