mes_anio,valores_gob_tot,valores_gob_resid,valores_gob_resid_banxico,valores_gob_resid_bdesarrollo,valores_gob_resid_bcomercial,valores_gob_resid_spublico,valores_gob_resid_siefores,valores_gob_resid_sprivado,valores_gob_noresid_sprivado,valores_gob_cargo_gobfed,valores_gob_cargo_banxico,cetes_tot,cetes_resid,cetes_resid_banxico,cetes_resid_bdesarrollo,cetes_resid_bcomercial,cetes_resid_spublico,cetes_resid_siefores,cetes_resid_sprivado,cetes_noresid,cetes_cargo_gobfed,cetes_cargo_banxico,bondes_tot,bondes_resid,bondes_resid_banxico,bondes_resid_bdesarrollo,bondes_resid_bcomercial,bondes_resid_spublico,bondes_resid_siefores,bondes_resid_sprivado,bondes_noresid,bondes_cargo_gobfed,bondes_cargo_banxico,bondesD_tot,bondesD_resid,bondesD_resid_banxico,bondesD_resid_bdesarrollo,bondesD_resid_bcomercial,bondesD_resid_spublico,bondesD_resid_siefores,bondesD_resid_sprivado,bondesD_noresid,bondesD_cargo_gobfed,bondesD_cargo_banxico,udibonos_tot,udibonos_resid,udibonos_resid_banxico,udibonos_resid_bdesarrollo,udibonos_resid_bcomercial,udibonos_resid_spublico,udibonos_resid_siefores,udibonos_resid_sprivado,udibonos_noresid,udibonos_cargo_gobfed,udibonos_cargo_banxico,bonos_tot,bonos_resid,bonos_resid_banxico,bonos_resid_bdesarrollo,bonos_resid_bcomercial,bonos_resid_spublico,bonos_resid_siefores,bonos_resid_sprivado,bonos_noresid,bonos_cargo_gobfed,bonos_cargo_banxico
Ene 2015,"6,098,623,431.42","3,685,775,633.17",0.00,"351,180,917.00","948,160,435.00","121,684,418.45","1,065,776,466.98","1,198,973,395.73","2,412,847,798.25","4,876,779,386.42","1,221,844,045.00","1,007,175,594.00","402,146,212.59",0.00,"2,801,929.00","130,245,692.00","24,700,261.49","68,592,205.85","175,806,124.25","605,029,381.41","719,050,010.00","288,125,584.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,162,945,251.00","1,161,384,550.15",0.00,"343,514,668.00","344,140,846.00","4,808,942.08","34,939,826.47","433,980,267.60","1,560,700.85","229,226,790.00","933,718,461.00","1,156,340,606.42","1,018,829,099.82",0.00,"824,696.00","67,589,101.00","75,461,023.55","490,451,431.76","384,502,847.51","137,511,506.60","1,156,340,606.42",0.00,"2,772,161,980.00","1,103,415,770.61",0.00,"4,039,624.00","406,184,796.00","16,714,191.33","471,793,002.91","204,684,156.37","1,668,746,209.39","2,772,161,980.00",0.00
Feb 2015,"6,108,106,636.79","3,756,988,895.51",0.00,"342,804,300.00","978,420,176.00","124,948,901.95","1,060,816,665.76","1,249,998,851.81","2,351,117,741.28","4,844,626,611.79","1,263,480,025.00","1,000,552,894.00","428,232,877.61",0.00,"11,703,202.00","141,831,772.00","28,195,385.40","56,037,911.68","190,464,606.53","572,320,016.39","694,851,830.00","305,701,064.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,192,969,701.00","1,191,641,004.43",0.00,"326,221,532.00","350,260,885.00","4,809,417.78","36,889,631.74","473,459,537.90","1,328,696.57","235,190,740.00","957,778,961.00","1,155,796,601.79","1,011,744,121.21",0.00,"1,105,063.00","67,446,737.00","75,069,270.46","493,406,577.21","374,716,473.54","144,052,480.58","1,155,796,601.79",0.00,"2,758,787,440.00","1,125,370,892.26",0.00,"3,774,503.00","418,880,782.00","16,874,828.30","474,482,545.13","211,358,233.83","1,633,416,547.74","2,758,787,440.00",0.00
Mar 2015,"6,150,274,065.32","3,852,998,316.83",0.00,"336,147,460.00","1,101,067,199.00","123,362,121.22","1,074,841,522.81","1,217,580,013.79","2,297,275,748.49","4,857,356,168.32","1,292,917,897.00","1,029,728,007.00","485,908,761.37",0.00,"15,795,337.00","250,213,685.00","21,112,235.14","65,407,665.88","133,379,838.35","543,819,245.63","701,975,700.00","327,752,307.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,199,733,260.00","1,197,747,051.22",0.00,"314,744,230.00","332,698,463.00","5,904,034.74","40,845,209.92","503,555,113.56","1,986,208.78","234,567,670.00","965,165,590.00","1,147,390,258.32","1,003,179,721.54",0.00,"1,035,912.00","76,173,935.00","78,082,368.60","488,713,962.50","359,173,543.43","144,210,536.78","1,147,390,258.32",0.00,"2,773,422,540.00","1,166,162,782.70",0.00,"4,571,981.00","441,981,116.00","18,263,482.73","479,874,684.52","221,471,518.45","1,607,259,757.30","2,773,422,540.00",0.00
Abr 2015,"6,193,518,167.85","3,883,957,560.73",0.00,"340,968,110.00","1,085,421,207.00","121,841,990.91","1,078,887,405.10","1,256,838,847.72","2,309,560,607.12","4,893,905,449.85","1,299,612,718.00","1,026,579,013.00","528,344,988.86",0.00,"19,567,549.00","273,487,473.00","20,311,037.73","62,057,290.97","152,921,638.16","498,234,024.14","676,546,570.00","350,032,443.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,192,960,265.00","1,191,194,274.34",0.00,"317,010,462.00","342,392,643.00","5,808,441.44","40,796,267.02","485,186,460.88","1,765,990.66","243,379,990.00","949,580,275.00","1,165,020,119.85","1,013,390,115.01",0.00,"904,317.00","68,754,079.00","77,376,175.66","491,670,680.25","374,684,863.10","151,630,004.84","1,165,020,119.85",0.00,"2,808,958,770.00","1,151,028,182.52",0.00,"3,485,782.00","400,787,012.00","18,346,336.08","484,363,166.85","244,045,885.59","1,657,930,587.48","2,808,958,770.00",0.00
May 2015,"6,287,372,490.04","3,982,409,287.27",0.00,"342,054,392.00","1,117,334,893.00","134,651,317.65","1,101,406,137.34","1,286,962,547.27","2,304,963,202.77","4,974,247,156.04","1,313,125,334.00","1,041,493,444.00","576,871,117.84",0.00,"18,822,174.00","281,122,284.00","33,657,879.11","53,611,450.09","189,657,330.63","464,622,326.16","683,963,470.00","357,529,974.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,198,827,640.00","1,196,658,213.61",0.00,"317,793,645.00","367,719,994.00","7,930,415.57","40,275,965.17","462,938,193.88","2,169,426.39","243,232,280.00","955,595,360.00","1,189,575,686.04","1,034,939,990.27",0.00,"715,232.00","62,017,474.00","77,433,663.39","503,104,074.40","391,669,546.48","154,635,695.77","1,189,575,686.04",0.00,"2,857,475,720.00","1,173,939,965.55",0.00,"4,723,341.00","406,475,141.00","15,629,359.58","504,414,647.69","242,697,476.28","1,683,535,754.45","2,857,475,720.00",0.00
Jun 2015,"6,165,501,462.19","3,882,238,909.56",0.00,"341,409,135.00","1,054,384,505.00","118,717,493.83","1,104,460,795.38","1,263,266,980.35","2,283,262,552.63","4,859,216,103.19","1,306,285,359.00","1,025,488,859.00","507,487,762.92",0.00,"25,416,019.00","218,818,349.00","18,808,022.04","59,618,777.94","184,826,594.95","518,001,096.08","699,589,660.00","325,899,199.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,229,875,720.00","1,226,722,524.16",0.00,"312,757,767.00","382,825,285.00","7,933,626.18","39,625,548.82","483,580,297.16","3,153,195.84","249,489,560.00","980,386,160.00","1,180,241,293.19","1,033,162,556.14",0.00,"487,329.00","70,569,483.00","76,877,611.24","497,998,333.01","387,229,799.89","147,078,737.05","1,180,241,293.19",0.00,"2,729,895,590.00","1,114,866,066.34",0.00,"2,748,020.00","382,171,388.00","15,098,234.38","507,218,135.61","207,630,288.35","1,615,029,523.66","2,729,895,590.00",0.00
Jul 2015,"6,229,135,598.30","3,915,597,523.95",0.00,"353,167,145.00","1,008,298,423.00","117,217,700.25","1,120,042,447.56","1,316,871,808.14","2,313,538,074.35","4,924,834,606.30","1,304,300,992.00","1,016,193,771.00","499,982,907.00",0.00,"39,122,867.00","191,914,784.00","16,266,235.25","56,406,702.10","196,272,318.65","516,210,864.00","689,493,060.00","326,700,711.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,229,922,931.00","1,227,045,393.28",0.00,"310,146,568.00","380,964,354.00","8,294,521.55","39,106,927.97","488,533,021.76","2,877,537.72","252,322,650.00","977,600,281.00","1,201,294,926.30","1,065,943,205.74",0.00,"768,908.00","69,614,768.00","77,409,079.53","515,168,208.73","402,982,241.48","135,351,720.56","1,201,294,926.30",0.00,"2,781,723,970.00","1,122,626,017.93",0.00,"3,128,802.00","365,804,517.00","15,247,863.92","509,360,608.76","229,084,226.25","1,659,097,952.07","2,781,723,970.00",0.00
Ago 2015,"6,276,767,282.93","3,937,996,365.64",0.00,"349,569,048.00","1,051,726,376.00","118,677,841.63","1,107,895,679.22","1,310,127,420.78","2,338,770,917.29","5,026,966,416.93","1,249,800,866.00","1,033,884,007.00","536,009,150.60",0.00,"44,105,283.00","205,163,888.00","16,774,173.09","54,504,278.83","215,461,527.68","497,874,856.40","725,124,950.00","308,759,057.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,201,408,499.00","1,199,177,942.97",0.00,"302,009,990.00","382,926,453.00","8,255,183.62","36,081,665.59","469,904,650.76","2,230,556.03","260,366,690.00","941,041,809.00","1,212,131,086.93","1,080,344,658.20",0.00,"679,282.00","86,519,965.00","78,192,766.63","515,330,557.15","399,622,087.42","131,786,428.73","1,212,131,086.93",0.00,"2,829,343,690.00","1,122,464,613.87",0.00,"2,774,493.00","377,116,070.00","15,455,718.29","501,979,177.66","225,139,154.92","1,706,879,076.13","2,829,343,690.00",0.00
Sep 2015,"6,297,569,111.55","3,958,433,796.80",0.00,"348,788,324.00","1,128,015,052.00","118,478,465.59","1,100,546,835.26","1,262,605,119.95","2,339,135,314.75","5,059,325,861.55","1,238,243,250.00","984,017,892.00","505,165,698.92",0.00,"35,459,856.00","226,950,350.00","19,981,415.14","55,115,976.71","167,658,101.07","478,852,193.08","679,648,230.00","304,369,662.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,198,301,768.00","1,195,247,881.68",0.00,"308,703,315.00","382,806,181.00","4,806,637.19","29,392,272.17","469,539,476.32","3,053,886.32","264,428,180.00","933,873,588.00","1,232,032,571.55","1,108,811,055.20",0.00,"451,245.00","91,141,851.00","78,296,551.22","518,420,949.59","420,500,458.40","123,221,516.35","1,232,032,571.55",0.00,"2,883,216,880.00","1,149,209,161.00",0.00,"4,173,908.00","427,116,670.00","15,393,862.04","497,617,636.79","204,907,084.17","1,734,007,719.00","2,883,216,880.00",0.00
Oct 2015,"6,288,705,959.33","3,978,605,516.54",0.00,"331,852,403.00","1,140,996,522.00","113,465,049.50","1,092,074,608.09","1,300,216,933.95","2,310,100,442.79","5,137,903,460.33","1,150,802,499.00","893,970,427.00","480,135,312.66",0.00,"27,190,546.00","229,216,043.00","14,516,740.81","53,655,092.73","155,556,890.12","413,835,114.34","670,474,930.00","223,495,497.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,206,572,942.00","1,204,697,743.89",0.00,"302,210,911.00","386,723,153.00","4,803,742.57","22,093,585.07","488,866,352.26","1,875,198.11","279,265,940.00","927,307,002.00","1,251,191,270.33","1,130,040,492.06",0.00,"460,518.00","94,889,106.00","78,794,835.44","538,765,859.08","417,130,173.54","121,150,778.27","1,251,191,270.33",0.00,"2,936,971,320.00","1,163,731,967.93",0.00,"1,990,428.00","430,168,220.00","15,349,730.67","477,560,071.22","238,663,518.04","1,773,239,352.07","2,936,971,320.00",0.00
Nov 2015,"6,293,215,654.16","4,027,032,754.82",0.00,"332,096,793.00","1,111,338,320.00","118,868,055.01","1,108,183,049.08","1,356,546,537.73","2,266,182,899.34","5,182,099,612.16","1,111,116,042.00","847,331,781.00","463,093,419.78",0.00,"18,093,345.00","211,154,377.00","20,719,893.80","58,765,403.91","154,360,400.08","384,238,361.22","667,641,200.00","179,690,581.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,216,207,031.00","1,212,897,236.33",0.00,"310,528,994.00","359,337,451.00","4,604,881.71","17,283,422.78","521,142,486.84","3,309,794.67","284,781,570.00","931,425,461.00","1,257,370,272.16","1,143,367,552.15",0.00,"1,518,212.00","93,512,039.00","78,583,172.81","553,415,077.92","416,339,050.41","114,002,720.01","1,257,370,272.16",0.00,"2,972,306,570.00","1,207,674,546.56",0.00,"1,956,242.00","447,334,453.00","14,960,106.69","478,719,144.47","264,704,600.40","1,764,632,023.44","2,972,306,570.00",0.00
Dic 2015,"6,199,023,377.28","3,922,765,323.66",0.00,"342,391,636.00","1,042,458,572.00","123,563,762.30","1,096,445,779.43","1,317,905,573.94","2,276,258,053.62","5,083,902,280.28","1,115,121,097.00","865,339,283.00","417,513,613.32",0.00,"19,989,561.00","155,564,687.00","25,967,112.46","61,493,432.17","154,498,820.69","447,825,669.68","688,998,820.00","176,340,463.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,233,710,494.00","1,231,288,290.04",0.00,"319,559,683.00","359,776,364.00","4,603,786.60","24,861,949.63","522,486,506.81","2,422,203.96","294,929,860.00","938,780,634.00","1,229,573,680.28","1,111,567,476.05",0.00,"1,406,832.00","102,022,781.00","79,200,129.93","547,031,196.50","381,906,536.63","118,006,204.23","1,229,573,680.28",0.00,"2,870,399,920.00","1,162,395,944.25",0.00,"1,435,560.00","425,094,740.00","13,792,733.31","463,059,201.13","259,013,709.81","1,708,003,975.75","2,870,399,920.00",0.00
Ene 2016,"6,255,430,831.02","3,956,589,670.28",0.00,"320,690,146.00","1,020,695,964.00","114,490,815.75","1,102,260,254.61","1,398,452,489.91","2,298,841,160.74","5,183,047,281.02","1,072,383,550.00","826,603,578.00","405,977,090.80",0.00,"3,978,479.00","145,166,326.00","10,865,055.09","45,347,680.40","200,619,550.31","420,626,487.20","667,280,050.00","159,323,528.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,211,355,222.00","1,208,832,636.90",0.00,"314,768,842.00","346,567,549.00","7,805,790.14","28,670,694.10","511,019,761.67","2,522,585.10","298,295,200.00","913,060,022.00","1,273,163,231.02","1,136,991,601.18",0.00,"1,671,045.00","101,789,976.00","81,483,974.21","565,348,560.28","386,698,045.69","136,171,629.84","1,273,163,231.02",0.00,"2,944,308,800.00","1,204,788,341.40",0.00,"271,780.00","427,172,113.00","14,335,996.31","462,893,319.84","300,115,132.25","1,739,520,458.60","2,944,308,800.00",0.00
Feb 2016,"6,309,629,093.46","4,043,404,180.33",0.00,"322,271,621.00","1,058,872,191.00","133,404,572.64","1,119,771,937.00","1,409,083,858.69","2,266,224,913.13","5,250,701,784.46","1,058,927,309.00","816,337,223.00","421,439,895.09",0.00,"10,489,509.00","148,162,578.00","31,238,041.21","45,899,426.67","185,650,340.21","394,897,327.91","676,769,000.00","139,568,223.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,226,662,506.00","1,224,777,248.73",0.00,"308,635,425.00","361,686,962.00","5,964,511.84","29,246,237.33","519,244,112.57","1,885,257.27","307,303,420.00","919,359,086.00","1,294,255,634.46","1,173,508,578.04",0.00,"1,493,230.00","113,518,346.00","81,561,957.75","579,787,690.20","397,147,354.09","120,747,056.42","1,294,255,634.46",0.00,"2,972,373,730.00","1,223,678,458.47",0.00,"1,653,457.00","435,504,305.00","14,640,061.85","464,838,582.81","307,042,051.82","1,748,695,271.53","2,972,373,730.00",0.00
Mar 2016,"6,297,387,225.42","4,055,697,404.41",0.00,"335,804,504.00","1,061,702,233.00","143,123,544.55","1,166,995,949.08","1,348,071,173.78","2,241,689,821.01","5,354,752,437.42","942,634,788.00","714,334,970.00","387,601,446.58",0.00,"15,312,109.00","105,808,433.00","36,945,710.90","52,387,466.78","177,147,726.90","326,733,523.42","664,342,860.00","49,992,110.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,207,817,268.00","1,205,915,893.42",0.00,"315,706,054.00","359,098,630.00","8,343,173.42","31,215,748.25","491,552,287.75","1,901,374.58","315,174,590.00","892,642,678.00","1,329,653,117.42","1,201,328,441.93",0.00,"1,472,170.00","137,066,762.00","83,109,873.75","591,078,434.87","388,601,201.30","128,324,675.49","1,329,653,117.42",0.00,"3,045,581,870.00","1,260,851,622.48",0.00,"3,314,171.00","459,728,408.00","14,724,786.47","492,314,299.18","290,769,957.83","1,784,730,247.52","3,045,581,870.00",0.00
Abr 2016,"6,354,386,833.13","4,094,654,754.21",0.00,"347,033,227.00","1,065,894,554.00","141,972,159.61","1,210,672,984.10","1,329,081,829.50","2,259,732,078.92","5,458,952,567.13","895,434,266.00","679,656,508.00","403,314,307.20",0.00,"18,111,017.00","91,740,198.00","35,604,250.37","66,054,833.69","191,804,008.15","276,342,200.80","658,570,970.00","21,085,538.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,198,598,478.00","1,196,324,483.58",0.00,"325,078,507.00","355,576,343.00","5,892,831.23","34,036,109.94","475,740,692.41","2,273,994.42","324,249,750.00","874,348,728.00","1,362,567,727.13","1,239,914,613.42",0.00,"1,791,781.00","135,159,470.00","85,948,239.74","615,649,556.11","401,365,566.57","122,653,113.71","1,362,567,727.13",0.00,"3,113,564,120.00","1,255,101,350.01",0.00,"2,051,922.00","483,418,543.00","14,526,838.27","494,932,484.36","260,171,562.37","1,858,462,769.99","3,113,564,120.00",0.00
May 2016,"6,220,376,988.63","4,067,271,518.93",0.00,"364,531,502.00","1,030,710,918.00","137,468,346.63","1,220,472,817.00","1,314,087,935.30","2,153,105,469.70","5,369,390,371.63","850,986,617.00","675,528,080.00","440,526,702.84",0.00,"28,927,039.00","99,158,415.00","26,678,448.83","73,519,649.61","212,243,150.40","235,001,377.16","675,528,080.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,174,916,547.00","1,173,083,241.67",0.00,"330,422,878.00","348,219,699.00","6,618,182.08","37,129,782.87","450,692,699.73","1,833,305.33","323,929,930.00","850,986,617.00","1,313,167,771.63","1,190,403,872.35",0.00,"2,149,306.00","106,564,605.00","83,958,102.19","603,745,375.50","393,986,483.67","122,763,899.28","1,313,167,771.63",0.00,"3,056,764,590.00","1,263,257,702.07",0.00,"3,032,279.00","476,768,199.00","20,213,613.53","506,078,009.03","257,165,601.51","1,793,506,887.93","3,056,764,590.00",0.00
Jun 2016,"6,034,379,129.51","3,944,176,505.49",0.00,"362,161,320.00","933,666,279.00","140,510,316.21","1,236,838,530.99","1,271,000,059.30","2,090,202,624.02","5,168,763,885.51","865,615,244.00","733,204,344.00","511,627,680.52",0.00,"30,399,431.00","105,772,354.00","39,664,184.69","86,192,413.08","249,599,297.75","221,576,663.48","684,931,190.00","48,273,154.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,141,826,200.00","1,139,796,991.02",0.00,"329,321,566.00","330,348,670.00","6,295,048.74","36,959,341.59","436,872,364.70","2,029,208.98","324,484,110.00","817,342,090.00","1,222,482,005.51","1,102,718,193.81",0.00,"981,877.00","62,817,087.00","79,861,531.52","587,745,647.05","371,312,051.24","119,763,811.70","1,222,482,005.51",0.00,"2,936,866,580.00","1,190,033,640.14",0.00,"1,458,446.00","434,728,168.00","14,689,551.26","525,941,129.26","213,216,345.62","1,746,832,939.86","2,936,866,580.00",0.00
Jul 2016,"6,133,213,591.54","4,035,132,906.61",0.00,"368,272,856.00","927,467,452.00","133,820,289.97","1,283,062,199.81","1,322,510,108.84","2,098,080,684.93","5,245,933,968.54","887,279,623.00","764,553,613.00","546,471,708.00",0.00,"33,324,045.00","114,445,764.00","31,260,122.24","96,747,339.86","270,694,436.90","218,081,905.00","692,110,920.00","72,442,693.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,144,165,520.00","1,141,899,267.07",0.00,"330,726,464.00","323,522,024.00","6,311,078.29","44,408,423.08","436,931,277.70","2,266,252.93","329,328,590.00","814,836,930.00","1,265,351,888.54","1,160,323,858.22",0.00,"1,246,151.00","64,190,018.00","80,736,370.90","617,748,648.65","396,402,669.67","105,028,030.32","1,265,351,888.54",0.00,"2,959,142,570.00","1,186,438,073.32",0.00,"2,976,196.00","425,309,646.00","15,512,718.54","524,157,788.21","218,481,724.57","1,772,704,496.68","2,959,142,570.00",0.00
Ago 2016,"6,273,854,728.99","4,163,985,547.93",0.00,"402,957,758.00","949,252,713.00","144,829,416.35","1,298,069,889.13","1,368,875,771.46","2,109,869,181.06","5,352,663,777.99","921,190,951.00","774,927,459.00","568,744,743.79",0.00,"18,200,344.00","135,320,575.00","41,390,511.13","99,536,682.63","274,296,631.02","206,182,715.21","677,964,890.00","96,962,569.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,206,705,802.00","1,204,689,575.66",0.00,"381,294,000.00","294,790,011.00","5,049,711.18","50,076,418.65","473,479,434.84","2,016,226.34","382,477,420.00","824,228,382.00","1,270,583,377.99","1,179,692,919.94",0.00,"2,085,948.00","69,660,511.00","82,501,468.55","619,815,722.92","405,629,269.47","90,890,458.05","1,270,583,377.99",0.00,"3,021,638,090.00","1,210,858,308.54",0.00,"1,377,466.00","449,481,616.00","15,887,725.48","528,641,064.93","215,470,436.12","1,810,779,781.46","3,021,638,090.00",0.00
Sep 2016,"6,279,041,600.81","4,070,410,775.17",0.00,"405,369,567.00","874,013,645.00","115,890,153.28","1,296,005,473.15","1,379,131,936.74","2,208,630,825.64","5,389,980,731.81","889,060,869.00","764,122,117.00","474,708,769.05",0.00,"7,611,331.00","77,439,817.00","16,993,727.40","101,646,080.02","271,017,813.62","289,413,347.95","667,006,690.00","97,115,427.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,178,144,282.00","1,176,218,141.65",0.00,"393,048,997.00","261,044,420.00","5,365,129.60","46,928,558.29","469,831,036.76","1,926,140.35","386,198,840.00","791,945,442.00","1,293,514,971.81","1,186,056,756.53",0.00,"2,448,077.00","69,271,471.00","80,915,786.48","628,576,465.03","404,844,957.02","107,458,215.28","1,293,514,971.81",0.00,"3,043,260,230.00","1,233,427,107.94",0.00,"2,261,162.00","466,257,937.00","12,615,509.80","518,854,369.80","233,438,129.34","1,809,833,122.06","3,043,260,230.00",0.00
Oct 2016,"6,192,835,572.71","4,004,516,390.82",0.00,"405,861,051.00","915,134,578.00","119,715,661.62","1,291,985,393.87","1,271,819,706.34","2,188,319,181.89","5,324,376,462.71","868,459,110.00","730,902,351.00","453,387,516.80",0.00,"5,360,468.00","107,614,854.00","22,342,762.87","125,623,040.27","192,446,391.65","277,514,834.20","633,340,260.00","97,562,091.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,155,978,679.00","1,154,352,425.59",0.00,"394,136,773.00","266,179,324.00","5,311,035.10","43,388,970.36","445,336,323.13","1,626,253.41","385,081,660.00","770,897,019.00","1,288,701,932.71","1,182,469,111.76",0.00,"1,745,562.00","71,940,706.00","80,192,358.59","626,261,766.61","402,328,718.57","106,232,820.95","1,288,701,932.71",0.00,"3,017,252,610.00","1,214,307,336.67",0.00,"4,618,248.00","469,399,694.00","11,869,505.06","496,711,616.63","231,708,272.98","1,802,945,273.33","3,017,252,610.00",0.00
Nov 2016,"6,136,758,638.63","4,040,880,423.72",0.00,"447,355,269.00","917,877,954.00","135,571,277.38","1,227,305,766.93","1,312,770,156.41","2,095,878,214.91","5,259,148,786.63","877,609,852.00","746,743,945.00","502,503,974.06",0.00,"26,438,778.00","118,206,239.00","21,662,180.38","108,105,777.40","228,090,999.28","244,239,970.94","649,142,200.00","97,601,745.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,173,400,187.00","1,172,642,219.43",0.00,"415,685,768.00","261,579,958.00","8,531,740.21","32,579,176.62","454,265,576.60","757,967.57","393,392,080.00","780,008,107.00","1,277,453,866.63","1,173,050,412.28",0.00,"1,866,950.00","60,974,315.00","80,641,127.41","621,248,552.44","408,319,467.43","104,403,454.35","1,277,453,866.63",0.00,"2,939,160,640.00","1,192,683,817.95",0.00,"3,363,773.00","477,117,442.00","24,736,229.38","465,372,260.46","222,094,113.10","1,746,476,822.05","2,939,160,640.00",0.00
Dic 2016,"5,977,948,665.42","3,845,990,074.13",0.00,"428,151,339.00","828,116,081.00","143,735,545.20","1,227,385,039.53","1,218,602,069.39","2,131,958,591.29","5,107,627,273.42","870,321,392.00","762,360,520.00","475,070,228.10",0.00,"22,143,563.00","106,884,512.00","40,267,206.85","122,794,857.69","182,980,088.55","287,290,291.90","654,362,460.00","107,998,060.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,157,862,012.00","1,153,036,504.48",0.00,"399,546,920.00","273,767,438.00","6,152,599.49","35,436,219.88","438,133,327.11","4,825,507.52","395,538,680.00","762,323,332.00","1,290,932,863.42","1,192,442,093.91",0.00,"5,182,261.00","68,697,655.00","81,830,193.66","634,683,862.42","402,048,121.83","98,490,769.51","1,290,932,863.42",0.00,"2,766,793,270.00","1,025,441,247.64",0.00,"1,278,595.00","378,766,476.00","15,485,545.20","434,470,099.55","195,440,531.89","1,741,352,022.36","2,766,793,270.00",0.00
Ene 2017,"6,083,887,868.04","3,914,261,963.63",0.00,"424,786,771.00","868,856,628.00","153,495,185.97","1,215,930,876.53","1,251,192,502.13","2,169,625,904.41","5,215,427,031.04","868,460,837.00","776,400,601.00","530,303,618.97",0.00,"21,132,281.00","124,574,329.00","45,555,141.72","135,711,945.31","203,329,921.94","246,096,982.03","676,449,990.00","99,950,611.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,173,326,236.00","1,172,924,889.22",0.00,"396,151,563.00","261,905,240.00","6,044,279.81","33,921,755.70","474,902,050.71","401,346.78","404,816,010.00","768,510,226.00","1,311,295,461.04","1,219,604,103.65",0.00,"6,270,359.00","82,003,942.00","75,809,650.52","636,665,010.13","418,855,142.00","91,691,357.39","1,311,295,461.04",0.00,"2,822,865,570.00","991,429,351.79",0.00,"1,232,568.00","400,373,117.00","26,086,113.92","409,632,165.38","154,105,387.49","1,831,436,218.21","2,822,865,570.00",0.00
Feb 2017,"6,147,876,922.84","3,920,820,961.26",0.00,"402,348,619.00","891,242,099.00","157,382,690.50","1,231,689,981.25","1,238,157,571.50","2,227,055,961.58","5,278,389,224.84","869,487,698.00","780,779,682.00","544,737,871.09",0.00,"6,574,680.00","146,034,257.00","45,760,775.65","139,770,458.31","206,597,700.13","236,041,810.91","665,813,650.00","114,966,032.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,162,271,406.00","1,161,855,373.62",0.00,"382,689,219.00","262,019,117.00","5,446,759.33","34,876,873.60","476,823,404.68","416,032.38","407,749,740.00","754,521,666.00","1,335,510,684.84","1,247,440,518.45",0.00,"11,989,164.00","77,621,849.00","88,354,372.60","659,118,923.37","410,356,209.47","88,070,166.39","1,335,510,684.84",0.00,"2,869,315,150.00","966,787,198.10",0.00,"1,095,556.00","405,566,876.00","17,820,782.92","397,923,725.97","144,380,257.22","1,902,527,951.90","2,869,315,150.00",0.00
