mes_anio,valores_gob_tot,valores_gob_resid,valores_gob_resid_banxico,valores_gob_resid_bdesarrollo,valores_gob_resid_bcomercial,valores_gob_resid_spublico,valores_gob_resid_siefores,valores_gob_resid_sprivado,valores_gob_noresid_sprivado,valores_gob_cargo_gobfed,valores_gob_cargo_banxico,cetes_tot,cetes_resid,cetes_resid_banxico,cetes_resid_bdesarrollo,cetes_resid_bcomercial,cetes_resid_spublico,cetes_resid_siefores,cetes_resid_sprivado,cetes_noresid,cetes_cargo_gobfed,cetes_cargo_banxico,bondes_tot,bondes_resid,bondes_resid_banxico,bondes_resid_bdesarrollo,bondes_resid_bcomercial,bondes_resid_spublico,bondes_resid_siefores,bondes_resid_sprivado,bondes_noresid,bondes_cargo_gobfed,bondes_cargo_banxico,bondesD_tot,bondesD_resid,bondesD_resid_banxico,bondesD_resid_bdesarrollo,bondesD_resid_bcomercial,bondesD_resid_spublico,bondesD_resid_siefores,bondesD_resid_sprivado,bondesD_noresid,bondesD_cargo_gobfed,bondesD_cargo_banxico,udibonos_tot,udibonos_resid,udibonos_resid_banxico,udibonos_resid_bdesarrollo,udibonos_resid_bcomercial,udibonos_resid_spublico,udibonos_resid_siefores,udibonos_resid_sprivado,udibonos_noresid,udibonos_cargo_gobfed,udibonos_cargo_banxico,bonos_tot,bonos_resid,bonos_resid_banxico,bonos_resid_bdesarrollo,bonos_resid_bcomercial,bonos_resid_spublico,bonos_resid_siefores,bonos_resid_sprivado,bonos_noresid,bonos_cargo_gobfed,bonos_cargo_banxico
Mar 2014,"5,471,428,058.96","3,449,814,229.72",0.00,"274,967,675.00","1,132,504,823.00","110,500,078.11","931,360,893.07","1,000,480,760.54","2,021,613,829.24","4,359,051,765.96","1,112,376,293.00","946,211,632.00","356,212,464.95",0.00,"1,034,315.00","96,775,540.00","26,419,840.52","75,654,431.84","156,328,337.58","589,999,167.05","683,453,850.00","262,757,782.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,061,451,921.00","1,059,075,893.61",0.00,"264,803,604.00","375,314,854.00","1,964,804.45","12,757,830.72","404,234,800.44","2,376,027.39","211,833,410.00","849,618,511.00","1,022,478,735.96","928,520,014.64",0.00,"2,051,834.00","128,974,480.00","63,576,510.50","452,774,281.47","281,142,908.67","93,958,721.32","1,022,478,735.96",0.00,"2,441,285,770.00","1,106,005,856.52",0.00,"7,077,922.00","531,439,949.00","18,538,922.63","390,174,349.03","158,774,713.85","1,335,279,913.48","2,441,285,770.00",0.00
Abr 2014,"5,535,896,999.86","3,569,865,173.65",0.00,"278,265,396.00","1,193,909,067.00","128,040,644.09","940,214,746.67","1,029,435,319.89","1,966,031,826.21","4,410,714,834.86","1,125,182,165.00","919,519,073.00","406,202,082.73",0.00,"1,588,878.00","153,067,048.00","43,230,488.07","73,019,634.88","135,296,033.79","513,316,990.27","659,189,560.00","260,329,513.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,085,599,472.00","1,083,886,176.41",0.00,"271,282,357.00","379,061,732.00","2,308,838.60","13,556,950.22","417,676,298.60","1,713,295.59","220,746,820.00","864,852,652.00","1,045,741,414.86","946,420,149.89",0.00,"2,041,587.00","135,015,321.00","63,838,909.98","464,451,817.64","281,072,514.28","99,321,264.97","1,045,741,414.86",0.00,"2,485,037,040.00","1,133,356,764.62",0.00,"3,352,574.00","526,764,966.00","18,662,407.44","389,186,343.95","195,390,473.23","1,351,680,275.38","2,485,037,040.00",0.00
May 2014,"5,694,442,527.75","3,610,595,408.43",0.00,"295,349,780.00","1,157,151,184.00","132,849,597.70","989,788,421.15","1,035,456,425.57","2,083,847,119.32","4,574,206,793.75","1,120,235,734.00","934,855,798.00","377,357,556.31",0.00,"2,098,868.00","137,395,358.00","48,145,187.89","76,586,306.15","113,131,836.27","557,498,241.69","673,701,150.00","261,154,648.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,077,565,806.00","1,075,728,022.38",0.00,"284,800,193.00","365,306,856.00","823,101.57","16,299,339.13","408,498,532.67","1,837,783.62","218,484,720.00","859,081,086.00","1,099,177,093.75","1,005,269,436.66",0.00,"3,263,667.00","137,523,865.00","65,128,345.79","482,423,423.15","316,930,135.72","93,907,657.09","1,099,177,093.75",0.00,"2,582,843,830.00","1,152,240,393.08",0.00,"5,187,052.00","516,925,105.00","18,752,962.44","414,479,352.73","196,895,920.91","1,430,603,436.92","2,582,843,830.00",0.00
Jun 2014,"5,677,387,397.42","3,559,055,695.66",0.00,"305,409,241.00","1,072,220,321.00","109,926,743.35","966,483,422.88","1,105,015,967.43","2,118,331,701.76","4,533,934,740.42","1,143,452,657.00","950,274,325.00","307,828,244.10",0.00,"637,167.00","94,935,713.00","26,315,283.83","69,409,466.60","116,530,613.67","642,446,080.90","677,912,170.00","272,362,155.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,095,528,942.00","1,093,570,107.95",0.00,"299,121,994.00","352,910,869.00","781,578.80","22,704,504.26","418,051,161.90","1,958,834.05","224,438,440.00","871,090,502.00","1,114,603,830.42","1,012,775,667.77",0.00,"1,872,415.00","122,667,042.00","66,437,905.95","481,530,032.26","340,268,272.55","101,828,162.65","1,114,603,830.42",0.00,"2,516,980,300.00","1,144,881,675.84",0.00,"3,777,665.00","501,706,697.00","16,391,974.77","392,839,419.75","230,165,919.32","1,372,098,624.16","2,516,980,300.00",0.00
Jul 2014,"5,767,196,707.50","3,590,422,583.13",0.00,"310,758,339.00","1,092,995,462.00","113,497,183.64","969,939,927.97","1,103,231,670.52","2,176,774,124.37","4,624,618,719.50","1,142,577,988.00","969,719,374.00","335,856,305.76",0.00,"729,113.00","100,114,733.00","28,376,979.33","76,729,141.52","129,906,338.91","633,863,068.24","696,629,700.00","273,089,674.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,088,954,634.00","1,087,371,412.52",0.00,"301,647,459.00","361,937,814.00","415,167.74","25,876,896.46","397,494,075.32","1,583,221.48","219,466,320.00","869,488,314.00","1,140,443,329.50","1,023,828,668.30",0.00,"2,565,534.00","115,063,574.00","68,321,332.90","477,398,572.78","360,479,654.62","116,614,661.20","1,140,443,329.50",0.00,"2,568,079,370.00","1,143,366,196.55",0.00,"5,816,233.00","515,879,341.00","16,383,703.67","389,935,317.22","215,351,601.67","1,424,713,173.45","2,568,079,370.00",0.00
Ago 2014,"5,797,606,637.77","3,653,398,054.54",0.00,"310,907,821.00","1,066,320,904.00","120,828,105.47","1,004,348,914.36","1,150,992,309.70","2,144,208,583.23","4,698,167,294.77","1,099,439,343.00","906,624,711.00","322,156,210.46",0.00,"645,205.00","100,737,415.00","31,966,827.76","77,502,768.29","111,303,994.41","584,468,500.54","689,067,890.00","217,556,821.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,107,413,102.00","1,105,790,593.26",0.00,"301,339,628.00","368,271,940.00","2,063,382.46","27,113,268.17","407,002,374.63","1,622,508.74","225,530,580.00","881,882,522.00","1,164,393,634.77","1,040,522,093.11",0.00,"2,917,315.00","98,590,729.00","70,062,515.80","479,551,605.97","389,399,927.34","123,871,541.66","1,164,393,634.77",0.00,"2,619,175,190.00","1,184,929,157.71",0.00,"6,005,673.00","498,720,820.00","16,735,379.45","420,181,271.94","243,286,013.32","1,434,246,032.29","2,619,175,190.00",0.00
Sep 2014,"5,782,051,319.38","3,643,925,298.78",0.00,"330,399,707.00","1,067,570,579.00","110,614,549.03","1,015,265,744.15","1,120,074,719.61","2,138,126,020.60","4,689,058,851.38","1,092,992,468.00","924,657,265.00","340,416,387.50",0.00,"1,518,186.00","127,843,127.00","21,062,786.30","80,974,432.94","109,017,855.26","584,240,877.50","707,575,860.00","217,081,405.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,098,175,133.00","1,095,812,054.62",0.00,"318,662,130.00","332,104,043.00","3,984,045.10","31,103,948.21","409,957,888.31","2,363,078.38","222,264,070.00","875,911,063.00","1,152,800,391.38","1,028,422,614.15",0.00,"2,999,004.00","86,478,670.00","68,822,545.39","465,093,720.65","405,028,674.12","124,377,777.23","1,152,800,391.38",0.00,"2,606,418,530.00","1,179,274,242.51",0.00,"7,220,387.00","521,144,739.00","16,745,172.24","438,093,642.35","196,070,301.92","1,427,144,287.49","2,606,418,530.00",0.00
Oct 2014,"5,936,186,972.41","3,754,431,979.60",0.00,"336,969,535.00","1,053,099,434.00","115,133,268.27","1,000,843,950.10","1,248,385,792.23","2,181,754,992.81","4,770,870,133.41","1,165,316,839.00","954,670,766.00","385,849,124.46",0.00,"828,137.00","130,765,300.00","22,182,360.84","68,606,336.81","163,466,989.81","568,821,641.54","689,346,180.00","265,324,586.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,130,878,883.00","1,128,859,634.91",0.00,"331,430,802.00","320,214,023.00","5,075,859.96","24,302,224.02","447,836,725.93","2,019,248.09","230,886,630.00","899,992,253.00","1,191,288,323.41","1,066,059,773.64",0.00,"1,820,470.00","120,157,793.00","70,953,210.89","478,887,505.34","394,240,794.41","125,228,549.77","1,191,288,323.41",0.00,"2,659,349,000.00","1,173,663,446.59",0.00,"2,890,126.00","481,962,318.00","16,921,836.58","429,047,883.93","242,841,282.07","1,485,685,553.41","2,659,349,000.00",0.00
Nov 2014,"6,097,935,210.33","3,780,239,734.46",0.00,"347,351,597.00","1,040,754,390.00","153,520,279.87","1,013,137,104.46","1,225,476,363.13","2,317,695,475.87","4,886,367,117.33","1,211,568,093.00","1,014,380,685.00","381,322,869.68",0.00,"2,308,370.00","122,573,173.00","60,373,989.34","66,277,424.41","129,789,912.93","633,057,815.32","705,132,590.00","309,248,095.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,127,945,718.00","1,126,390,885.98",0.00,"341,477,130.00","301,037,198.00","4,805,742.74","22,770,179.46","456,300,635.79","1,554,832.02","225,625,720.00","902,319,998.00","1,216,787,317.33","1,084,172,581.82",0.00,"1,824,380.00","129,741,375.00","70,920,843.36","480,082,441.19","401,603,542.26","132,614,735.51","1,216,787,317.33",0.00,"2,738,821,490.00","1,188,353,396.98",0.00,"1,741,717.00","487,402,644.00","17,419,704.43","444,007,059.40","237,782,272.15","1,550,468,093.02","2,738,821,490.00",0.00
Dic 2014,"5,935,661,987.70","3,652,631,555.06",0.00,"365,247,721.00","923,561,613.00","128,101,339.66","1,022,751,172.85","1,212,969,708.55","2,283,030,432.64","4,721,534,053.70","1,214,127,934.00","1,010,576,883.00","390,257,745.37",0.00,"1,915,144.00","90,441,111.00","34,364,615.65","64,201,860.73","199,335,014.00","620,319,137.63","723,341,780.00","287,235,103.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,158,342,391.00","1,156,718,631.10",0.00,"360,499,767.00","299,298,284.00","4,804,517.02","27,290,535.76","464,825,527.31","1,623,759.90","231,449,560.00","926,892,831.00","1,128,037,733.70","992,308,521.92",0.00,"1,166,736.00","58,318,830.00","72,937,940.99","482,266,721.82","377,618,293.11","135,729,211.78","1,128,037,733.70",0.00,"2,638,704,980.00","1,113,346,656.67",0.00,"1,666,074.00","475,503,388.00","15,994,265.99","448,992,054.54","171,190,874.14","1,525,358,323.33","2,638,704,980.00",0.00
