Título,Total,total deflactado,Sector privado no financiero,sector privado no financiero deflactado,Sector financiero no bancario,sector financiero no bancario deflactado,Sector público,sector público deflactado,Otros sectores,otros sectores deflactados,Sector externo,sector externo deflactado,Crédito a banca comercial,crédito a banca comercial deflactado,INPC mensual
Feb 2012,"2,449,153.7","3,135,198.7","1,904,650.4","2,438,171.8","165,129.5","211,384.8","324,586.3","415,507.8","9,201.6","11,779.1","45,585.9","58,355.2","1,338.1","1,712.9",78.50231384
Mar 2012,"2,490,260.7","3,185,991.1","1,930,664.8","2,470,055.0","168,543.4","215,631.1","333,830.5","427,096.2","8,985.6","11,496.0","48,236.3","61,712.6",826.0,"1,056.8",78.54738867
Abr 2012,"2,499,637.5","3,208,051.5","1,928,785.1","2,475,415.7","179,479.4","230,345.1","334,094.7","428,779.4","8,989.0","11,536.5","48,289.5","61,975.1","1,472.3","1,889.6",78.30097963
May 2012,"2,552,344.8","3,286,069.0","1,979,504.0","2,548,553.3","180,136.2","231,920.1","336,504.4","433,239.5","8,681.2","11,176.8","47,519.0","61,179.3","2,570.2","3,309.1",78.05381934
Jun 2012,"2,570,622.5","3,294,412.9","1,989,286.3","2,549,394.4","183,979.0","235,780.6","349,226.1","447,555.0","8,648.7","11,083.8","39,482.4","50,599.2","2,798.3","3,586.2",78.41366669
Jul 2012,"2,584,779.6","3,294,062.6","2,002,157.3","2,551,564.3","185,760.4","236,734.5","348,486.3","444,113.6","8,651.0","11,024.9","39,724.6","50,625.3","2,602.1","3,316.1",78.85389747
Ago 2012,"2,611,144.1","3,317,705.2","2,014,584.8","2,559,720.2","193,305.3","245,612.6","353,608.8","449,293.4","8,345.2","10,603.4","41,300.0","52,475.5","2,142.6","2,722.4",79.0905403
Sep 2012,"2,638,790.5","3,338,120.3","2,036,629.8","2,576,375.5","198,575.8","251,202.2","356,616.5","451,126.7","8,312.2","10,515.1","38,656.2","48,900.8","2,422.5","3,064.5",79.43911894
Oct 2012,"2,651,598.1","3,337,436.6","2,047,379.0","2,576,935.6","200,001.9","251,732.6","358,759.6","451,553.1","8,313.8","10,464.2","37,143.7","46,751.0","2,679.2","3,372.2",79.84103612
Nov 2012,"2,704,824.1","3,381,457.6","2,080,202.6","2,600,582.0","214,973.1","268,750.4","364,797.5","456,054.5","8,308.8","10,387.3","36,542.1","45,683.4","1,984.0","2,480.3",80.3834365
Dic 2012,"2,753,563.1","3,434,492.9","2,100,727.8","2,620,217.7","227,623.2","283,912.2","383,380.3","478,186.6","8,043.5","10,032.6","33,788.3","42,143.8","2,129.9","2,656.6",80.56824328
Ene 2013,"2,749,289.3","3,415,404.6","2,102,753.8","2,612,222.4","224,257.1","278,591.5","377,263.4","468,669.2","8,039.5","9,987.4","36,975.4","45,934.0","1,413.1","1,755.5",80.89278202
Feb 2013,"2,757,871.0","3,409,284.8","2,113,139.3","2,612,266.3","223,900.8","276,786.5","380,544.8","470,430.1","8,039.6","9,938.6","32,246.4","39,863.1","2,120.7","2,621.6",81.29094297
Mar 2013,"2,765,605.7","3,393,942.6","2,118,774.5","2,600,153.4","227,672.7","279,399.2","381,131.1","467,722.9","8,049.6","9,878.4","29,977.9","36,788.8","2,895.4","3,553.2",81.88743314
Abr 2013,"2,780,432.3","3,409,885.4","2,136,986.2","2,620,771.6","230,690.3","282,915.5","378,598.8","464,308.6","8,043.5","9,864.4","26,113.5","32,025.3","2,633.6","3,229.8",81.94152293
May 2013,"2,816,764.1","3,465,977.1","2,165,561.3","2,664,683.8","235,432.6","289,695.5","379,035.2","466,395.9","6,038.8","7,430.6","30,696.1","37,771.0","3,144.8","3,869.6",81.66882024
Jun 2013,"2,837,711.9","3,493,874.1","2,174,878.1","2,677,773.7","242,247.7","298,262.5","382,147.0","470,510.6","4,036.1","4,969.4","34,403.0","42,358.0","3,570.9","4,396.6",81.61923793
Jul 2013,"2,852,000.2","3,512,630.2","2,197,484.5","2,706,504.2","241,601.0","297,564.8","378,937.7","466,713.9","4,037.6","4,972.9","29,939.3","36,874.4","4,312.0","5,310.8",81.59219304
Ago 2013,"2,900,015.3","3,561,634.3","2,230,163.8","2,738,960.7","243,400.2","298,930.3","383,627.9","471,150.0","4,004.9","4,918.6","38,818.5","47,674.7","2,656.1","3,262.1",81.82432839
Sep 2013,"2,903,042.6","3,551,981.6","2,239,187.9","2,739,730.4","246,338.7","301,404.6","382,639.8","468,174.2","4,005.8","4,901.2","30,870.4","37,771.1","2,612.9","3,197.0",82.13233968
Oct 2013,"2,942,583.8","3,583,318.3","2,261,458.4","2,753,880.9","246,066.2","299,646.0","393,695.8","479,421.3","4,006.6","4,879.0","37,356.8","45,491.1","1,978.9","2,409.8",82.52298816
Nov 2013,"2,986,002.3","3,602,607.5","2,305,386.5","2,781,445.5","242,349.7","292,394.6","393,519.4","474,780.6","2,005.3","2,419.4","42,741.4","51,567.4","2,957.1","3,567.7",83.29226516
Dic 2013,"3,006,688.7","3,606,875.4","2,321,104.8","2,784,437.2","253,339.5","303,910.4","402,922.9","483,353.2",0.0,0.0,"29,321.6","35,174.7","3,584.3","4,299.8",83.7700583
Ene 2014,"2,993,077.2","3,558,728.0","2,312,827.4","2,749,920.2","246,322.4","292,874.0","401,571.6","477,463.2",0.0,0.0,"32,355.7","38,470.5","3,835.4","4,560.2",84.51905163
Feb 2014,"2,994,552.7","3,551,485.6","2,313,517.6","2,743,790.3","246,330.1","292,143.1","403,242.6","478,238.5",0.0,0.0,"31,462.4","37,313.8","3,883.6","4,605.9",84.73315704
Mar 2014,"3,012,587.5","3,563,113.1","2,321,503.0","2,745,738.6","247,614.1","292,863.5","408,379.2","483,007.1",0.0,0.0,"35,091.2","41,503.8","2,648.9","3,133.0",84.96529239
Abr 2014,"3,015,071.8","3,572,716.7","2,335,148.0","2,767,039.3","247,277.1","293,011.6","400,596.9","474,688.3",0.0,0.0,"32,049.9","37,977.6","2,861.7","3,391.0",84.80677925
May 2014,"3,067,256.8","3,646,213.5","2,376,121.6","2,824,623.8","246,263.1","292,746.2","413,548.8","491,607.8",0.0,0.0,"31,323.3","37,235.7","2,469.6","2,935.7",84.53557906
Jun 2014,"3,077,402.1","3,651,945.3","2,377,230.3","2,821,053.2","254,001.0","301,422.3","411,769.4","488,645.7",0.0,0.0,"34,401.4","40,824.1","1,207.9","1,433.4",84.68207224
Jul 2014,"3,096,078.1","3,664,031.5","2,386,813.4","2,824,657.2","249,703.3","295,509.6","426,698.6","504,973.4",0.0,0.0,"32,862.8","38,891.2","1,138.2","1,347.0",84.91495883
Ago 2014,"3,113,199.9","3,671,107.9","2,405,206.3","2,836,236.7","244,051.1","287,786.8","431,365.2","508,669.0",0.0,0.0,"32,577.3","38,415.4",866.6,"1,021.9",85.21996514
Sep 2014,"3,124,543.6","3,668,283.4","2,413,903.5","2,833,976.2","246,308.9","289,172.1","429,931.0","504,748.5",0.0,0.0,"34,400.1","40,386.5","1,335.1","1,567.4",85.59633992
Oct 2014,"3,150,010.1","3,677,845.8","2,435,720.4","2,843,865.2","241,595.5","282,078.8","436,638.6","509,804.5",0.0,0.0,"36,055.6","42,097.3","1,143.2","1,334.8",86.06962558
Nov 2014,"3,235,859.0","3,747,853.7","2,470,314.1","2,861,180.2","255,773.5","296,243.3","471,171.1","545,722.3",0.0,0.0,"38,600.4","44,708.0",630.3,730.0,86.76377787
Dic 2014,"3,299,746.2","3,803,210.9","2,495,243.1","2,875,959.3","260,458.0","300,197.8","501,714.8","578,264.8",0.0,0.0,"42,330.3","48,788.9","1,031.6","1,189.0",87.18898371
Ene 2015,"3,323,816.5","3,834,422.8","2,514,595.1","2,900,888.4","252,573.7","291,374.2","515,314.3","594,477.1",0.0,0.0,"41,333.4","47,683.1","1,253.6","1,446.2",87.11010277
Feb 2015,"3,312,231.9","3,813,822.6","2,511,249.7","2,891,543.0","244,905.4","281,992.9","513,961.5","591,793.7",0.0,0.0,"42,115.3","48,493.1","1,628.6","1,875.2",87.27537713
Mar 2015,"3,349,791.8","3,841,430.1","2,551,123.3","2,925,543.6","245,098.6","281,070.9","510,865.0","585,843.0",0.2,0.2,"42,704.7","48,972.3","1,312.7","1,505.4",87.63071699
Abr 2015,"3,387,580.0","3,894,848.2","2,585,404.7","2,972,552.3","247,924.3","285,049.4","508,082.2","584,164.2",0.2,0.2,"46,168.6","53,082.0","2,149.4","2,471.3",87.40384038
May 2015,"3,446,804.8","3,982,830.9","2,618,001.8","3,025,137.5","254,888.6","294,527.3","508,684.3","587,791.8",0.2,0.2,"65,229.8","75,373.9","2,180.2","2,519.3",86.96736583
Jun 2015,"3,430,825.8","3,957,734.4","2,617,240.8","3,019,198.5","253,794.6","292,772.6","508,245.2","586,301.9",0.0,0.0,"51,545.2","59,461.5","2,242.5","2,586.9",87.11310776
Jul 2015,"3,467,571.4","3,994,267.7","2,638,269.0","3,039,000.9","254,857.6","293,568.4","528,509.2","608,785.5",0.0,0.0,"45,935.6","52,912.8","1,912.2","2,202.6",87.24081976
Ago 2015,"3,518,125.2","4,043,968.5","2,678,349.3","3,078,673.9","259,893.2","298,738.6","532,609.3","612,216.8",0.0,0.0,"47,273.4","54,339.2","1,791.0","2,058.7",87.42487529
Sep 2015,"3,576,826.3","4,096,097.1","2,737,880.5","3,135,356.2","253,752.2","290,591.0","536,136.0","613,970.3",0.0,0.0,"49,057.6","56,179.6",932.3,"1,067.6",87.75241902
Oct 2015,"3,577,135.9","4,075,482.7","2,757,940.4","3,142,161.4","249,413.5","284,160.4","524,500.1","597,570.5",0.0,0.0,"45,281.9","51,590.3",972.8,"1,108.3",88.2039185
Nov 2015,"3,637,701.3","4,121,981.7","2,792,209.8","3,163,931.5","269,682.6","305,584.9","526,639.9","596,750.5",0.0,0.0,"49,169.0","55,714.8",797.6,903.8,88.68546788
Dic 2015,"3,748,640.8","4,230,453.4","2,845,968.8","3,211,761.0","295,040.0","332,961.5","556,415.6","627,931.7",0.0,0.0,"51,216.4","57,799.2","2,144.2","2,419.8",89.04681772
Ene 2016,"3,794,778.2","4,266,252.3","2,901,760.7","3,262,283.7","286,795.6","322,427.9","555,464.9","624,477.4",0.0,0.0,"50,757.1","57,063.3","1,886.8","2,121.2",89.38638139
Feb 2016,"3,793,089.2","4,245,762.3","2,910,584.8","3,257,938.5","272,500.9","305,021.6","559,867.8","626,683.3",0.0,0.0,"50,135.6","56,118.9","1,634.7","1,829.8",89.77778112
Mar 2016,"3,792,965.7","4,239,380.6","2,891,217.6","3,231,500.8","289,630.7","323,718.9","561,477.9","627,561.3",0.0,0.0,"50,639.4","56,599.4","1,768.5","1,976.6",89.9100006
Abr 2016,"3,813,480.0","4,275,849.9","2,912,237.2","3,265,334.8","290,970.4","326,249.4","559,336.9","627,154.4",0.0,0.0,"50,935.5","57,111.2","1,539.8","1,726.5",89.62527796
May 2016,"3,865,822.2","4,353,953.8","2,991,103.8","3,368,786.0","269,218.8","303,212.7","552,935.5","622,753.8",0.0,0.0,"52,564.1","59,201.3","2,994.8","3,372.9",89.22561452
Jun 2016,"3,948,942.0","4,442,668.9","3,036,143.8","3,415,745.7","275,998.7","310,506.2","581,254.2","653,927.0",0.0,0.0,"55,545.2","62,489.9","3,132.4","3,524.0",89.32402789
Jul 2016,"3,986,387.3","4,473,133.5","3,090,301.5","3,467,633.7","270,928.3","304,009.2","570,861.1","640,564.4",0.0,0.0,"54,296.3","60,926.0","3,369.3","3,780.7",89.55691448
Ago 2016,"3,993,594.0","4,468,625.2","3,112,665.9","3,482,912.2","264,031.4","295,437.5","560,649.2","627,337.5",0.0,0.0,"56,247.6","62,938.2","2,978.1","3,332.3",89.80933349
Sep 2016,"4,059,743.1","4,515,071.8","3,162,884.3","3,517,624.0","259,648.6","288,770.0","568,016.8","631,723.9",0.0,0.0,"69,193.4","76,953.9","3,091.1","3,437.8",90.35774385
Oct 2016,"4,062,667.2","4,491,066.2","3,180,600.3","3,515,987.3","258,586.7","285,854.1","554,971.9","613,492.4",0.0,0.0,"68,508.3","75,732.3","2,627.1","2,904.1",90.90615422
Nov 2016,"4,162,390.9","4,565,612.8","3,282,697.4","3,600,701.0","265,715.0","291,455.5","546,573.3","599,521.3",0.0,0.0,"67,405.2","73,934.9","2,486.5","2,727.4",91.61683394
Dic 2016,"4,232,970.1","4,621,730.7","3,276,514.3","3,577,432.9","285,369.7","311,578.4","591,752.5","646,099.7",0.0,0.0,"79,333.5","86,619.6","4,689.2","5,119.9",92.0390348
Ene 2017,"4,233,038.9","4,544,539.5","3,279,639.7","3,520,981.7","279,730.0","300,314.8","590,249.3","633,684.5",0.0,0.0,"83,419.9","89,558.6","5,296.8","5,686.6",93.60388244
Feb 2017,"4,236,874.6","4,522,523.7","3,294,594.5","3,516,715.3","278,408.4","297,178.6","587,543.6","627,155.7",0.0,0.0,"76,328.1","81,474.1","4,229.5","4,514.7",94.14478034
Mar 2017,"4,259,592.9","4,519,043.1","3,335,259.9","3,538,409.3","295,189.5","313,169.4","557,505.1","591,462.5",0.0,0.0,"71,638.4","76,001.9","4,874.3","5,171.2",94.72248933
Abr 2017,"4,313,919.9","4,571,059.9","3,382,159.3","3,583,759.8","302,729.2","320,774.0","557,901.4","591,156.2",0.1,0.1,"71,129.9","75,369.7","4,597.7","4,871.8",94.83893263
May 2017,"4,325,048.2","4,588,339.7","3,399,487.2","3,606,434.3","302,895.9","321,335.0","550,069.3","583,555.3",0.1,0.1,"72,595.7","77,015.0","4,697.9","4,983.9",94.72549432
Jun 2017,"4,361,993.3","4,615,929.1","3,435,837.3","3,635,856.5","298,211.0","315,571.5","550,938.7","583,011.9",0.0,0.0,"77,006.3","81,489.3","5,043.3","5,336.9",94.96363964
Jul 2017,"4,387,800.9","4,625,747.3","3,466,873.0","3,654,878.3","299,277.6","315,507.1","550,720.6","580,585.7",0.0,0.0,"70,929.7","74,776.2","4,476.5","4,719.3",95.32273574
Ago 2017,"4,431,551.4","4,648,898.1","3,507,109.8","3,679,117.0","301,684.6","316,480.8","550,273.2","577,261.5",0.1,0.1,"72,483.7","76,038.7","4,645.2","4,873.0",95.79376765
Sep 2017,"4,462,840.9","4,667,118.3","3,527,507.0","3,688,971.4","299,683.8","313,401.2","557,322.3","582,832.6",0.0,0.0,"78,327.8","81,913.1","6,201.8","6,485.7",96.09351524
Oct 2017,"4,489,299.6","4,665,426.8","3,576,444.8","3,716,758.3","289,273.3","300,622.3","544,101.1","565,447.6",0.0,0.0,"79,480.4","82,598.6","4,813.5","5,002.3",96.69826913
Nov 2017,"4,536,743.8","4,666,622.1","3,614,472.9","3,717,948.3","303,210.9","311,891.2","535,846.6","551,186.9",0.0,0.0,"83,213.4","85,595.6","5,969.2","6,140.1",97.69517399
Dic 2017,"4,626,388.8","4,730,858.1","3,670,486.6","3,753,370.5","311,296.2","318,325.6","557,345.1","569,930.6",0.0,0.0,"87,260.9","89,231.4","6,597.5","6,746.5",98.27288299
Ene 2018,"4,632,618.8","4,712,193.2","3,670,341.4","3,733,386.8","299,109.8","304,247.6","577,628.6","587,550.5",0.0,0.0,"85,539.0","87,008.3","4,113.7","4,184.4",98.7949997
Feb 2018,"4,642,745.1","4,704,570.7","3,701,441.0","3,750,731.6","292,533.6","296,429.2","561,494.5","568,971.7",0.0,0.0,"87,276.0","88,438.2","3,716.2","3,765.7",99.17137448
Mar 2018,"4,654,973.2","4,701,753.2","3,719,430.3","3,756,808.6","294,282.5","297,239.9","554,874.9","560,451.1",0.0,0.0,"86,385.5","87,253.6","4,922.9","4,972.4",99.49215698
